Name,UID,Code,Parent UID,Short name,Description,UUID,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Phuong Tay Son,Phuon000004,,Tptam000001,,,,01-01-1990,,,,,,,,,
Phuong Trung Son,Phuon000005,,Tptam000001,,,,01-01-1990,,,,,,,,,
Phuong Yen Binh,Phuon000006,,Tptam000001,,,,01-01-1990,,,,,,,,,
Phuong Yen Son,Phuon000007,,Tptam000001,,,,01-01-1990,,,,,,,,,
Quoc Tuan,Quoct000001,,Huyea000001,,,,01-01-1990,,,,,,,,,
Nam Son,Namso000001,,Huyea000001,,,,01-01-1990,,,,,,,,,
An Hung,Anhun000001,,Huyea000001,,,,01-01-1990,,,,,,,,,
Dang Cuong,Dangc000001,,Huyea000001,,,,01-01-1990,,,,,,,,,
Dong Thai,Dongt000001,,Huyea000001,,,,01-01-1990,,,,,,,,,
Kenh Duong,Kenhd000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Vinh Niem,Vinhn000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Du Hang Kenh,Duhan000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Dong Hai,Dongh000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Trai Cau,Traic000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
An Bien,Anbie000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Du Hang,Duhan000002,,Quanl000001,,,,01-01-1990,,,,,,,,,
Nghia Xa,Nghia000001,,Quanl000001,,,,01-01-1990,,,,,,,,,
Xa Toan Thang,Xatoa000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Tien Thang,Xatie000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Dong Hung,Xadon000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Quang Phuc,Xaqua000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Bach Dang,Xabac000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Cap Tien,Xacap000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Khoi Nghia,Xakho000001,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Tien Thanh,Xatie000002,,Huyet000001,,,,01-01-1990,,,,,,,,,
Xa Tien Cuong,Xatie000003,,Huyet000001,,,,01-01-1990,,,,,,,,,
CLB Trung Hop Thanh,Clbtr000001,,Phuon000001,,,,01-01-1990,,,,,,,,,
CLB Binh Hoa,Clbbi000001,,Phuon000001,,,,01-01-1990,,,,,,,,,
CLB Binh Yen,Clbbi000002,,Phuon000001,,,,01-01-1990,,,,,,,,,
CLB Thon Thuong,Clbth000001,,Phuon000002,,,,01-01-1990,,,,,,,,,
CLB Phuc Lai,Clbph000001,,Phuon000003,,,,01-01-1990,,,,,,,,,
CLB Gia Thuong,Clbgh000001,,Xagia000001,,,,01-01-1990,,,,,,,,,
CLB Vuon Thi,Clbvu000001,,Xagia000001,,,,01-01-1990,,,,,,,,,
"CLB Xom 11, Gia Hung",Clbxo000002,,Xagia000002,,,,01-01-1990,,,,,,,,,
"CLB Xom 5, Phuong Dong",Clbxo000003,,Xagia000003,,,,01-01-1990,,,,,,,,,
CLB Lien Huy,Clbli000004,,Xagia000004,,,,01-01-1990,,,,,,,,,
CLB Bec Diem Khe,Clbba000001,,Xagia000005,,,,01-01-1990,,,,,,,,,
CLB Vu Dai,Clbvu000005,,Xagia000006,,,,01-01-1990,,,,,,,,,
"CLB Xom 9, Lien Son",Clbxo000006,,Xagia000007,,,,01-01-1990,,,,,,,,,
CLB Xom 4 Dong Phu,Clbxo000004,,Xakha000001,,,,01-01-1990,,,,,,,,,
CLB Thong Nhat,Clbth000006,,Xayen000001,,,,01-01-1990,,,,,,,,,
CLB Hong Thang,Clbho000003,,Xayen000002,,,,01-01-1990,,,,,,,,,
CLB Yen Su,Clbye000002,,Xayen000003,,,,01-01-1990,,,,,,,,,
CLB Phu My,Clbph000007,,Xayen000004,,,,01-01-1990,,,,,,,,,
CLB Tu Duong,Clbtu000001,,Xayen000005,,,,01-01-1990,,,,,,,,,
CLB Van Du Thuong,Clbva000001,,Xayen000006,,,,01-01-1990,,,,,,,,,
CLB Khu pho 2,Clbkh000003,,Phuon000004,,,,01-01-1990,,,,,,,,,
CLB To dan pho 2,Clbto000002,,Phuon000005,,,,01-01-1990,,,,,,,,,
CLB Thon Ly Nhan,Clbth000002,,Phuon000006,,,,01-01-1990,,,,,,,,,
CLB Thon Nguyen,Clbth000003,,Phuon000007,,,,01-01-1990,,,,,,,,,
CLB Thon Nhu Kieu,Clbth000004,,Quoct000001,,,,01-01-1990,,,,,,,,,
CLB Thon Luong Quan,Clbth000005,,Namso000001,,,,01-01-1990,,,,,,,,,
CLB Thon Nam Binh,Clbth000006,,Anhun000001,,,,01-01-1990,,,,,,,,,
CLB Thon Ha,Clbth000007,,Anhun000001,,,,01-01-1990,,,,,,,,,
CLB Thon Dong Du,Clbth000008,,Dangc000001,,,,01-01-1990,,,,,,,,,
CLB Thon Bach Mai,Clbth000009,,Dongt000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Kenh Duong,Clbph000001,,Kenhd000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Vinh Niem,Clbph000002,,Vinhn000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Du Hang Kenh,Clbph000003,,Duhan000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Dong Hai,Clbph000004,,Dongh000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Trai Cau,Clbph000005,,Traic000001,,,,01-01-1990,,,,,,,,,
CLB Phuong An Bien,Clbph000006,,Anbie000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Du Hang,Clbph000007,,Duhan000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Nghia Xa,Clbph000008,,Nghia000001,,,,01-01-1990,,,,,,,,,
CLB Cam Khe,Clbca000001,,Xatoa000001,,,,01-01-1990,,,,,,,,,
CLB Doc Hanh,Clbdo000002,,Xatoa000001,,,,01-01-1990,,,,,,,,,
CLB Doc Hau,Clbdo000003,,Xatoa000001,,,,01-01-1990,,,,,,,,,
CLB My Loc 1,Clbmy000002,,Xatie000001,,,,01-01-1990,,,,,,,,,
CLB My Loc 2,Clbmy000003,,Xatie000001,,,,01-01-1990,,,,,,,,,
CLB Son Dong  ,Clbso000001,,Xatie000001,,,,01-01-1990,,,,,,,,,
CLB Thuy Hung,Clbth000007,,Xadon000001,,,,01-01-1990,,,,,,,,,
CLB  Ky Vy Thuong,Clbky000001,,Xaqua000001,,,,01-01-1990,,,,,,,,,
CLB Binh Hue,ClbBi000001,,Xaqua000001,,,,01-01-1990,,,,,,,,,
CLB Hoang Dong,Clbho000006,,Xaqua000001,,,,01-01-1990,,,,,,,,,
CLB Tra Dong ,Clbtr000002,,Xaqua000001,,,,01-01-1990,,,,,,,,,
CLB Phac Xuyen,Clbph000001,,Xabac000001,,,,01-01-1990,,,,,,,,,
CLB Xuan Hoa,Clbxu000001,,Xabac000001,,,,01-01-1990,,,,,,,,,
CLB Phuong Lai,Clbph000009,,Xacap000001,,,,01-01-1990,,,,,,,,,
CLB Phu Xuan,Clbph000007,,Xacap000001,,,,01-01-1990,,,,,,,,,
CLB Kinh Luong,Clbki000001,,Xacap000001,,,,01-01-1990,,,,,,,,,
CLB An Tu,Clban000001,,Xakho000001,,,,01-01-1990,,,,,,,,,
CLB An Du,Clban000002,,Xakho000001,,,,01-01-1990,,,,,,,,,
CLB Ha Doi,Clbha000003,,Xatie000002,,,,01-01-1990,,,,,,,,,
CLB An Thung,Clban000004,,Xatie000003,,,,01-01-1990,,,,,,,,,
