Name,UID,Code,Parent UID,Short name,Description,UUID,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Tar Lel,,,Kv6IeDYncTM,Tar Lel,,,,,,,,,,,,
Byet Kha,,,IkObzhEcdSx,Byet Kha,,,,,,,,,,,,
Don Yin,,,IkObzhEcdSx,Don Yin,,,,,,,,,,,,
Ei Hei,,,IkObzhEcdSx,Ei Hei,,,,,,,,,,,,
Ein Du,,,IkObzhEcdSx,Ein Du,,,,,,,,,,,,
Kawt Yin (Lower),,,IkObzhEcdSx,Kawt Yin (Lower),,,,,,,,,,,,
Kha Yar (Ah Twin),,,IkObzhEcdSx,Kha Yar (Ah Twin),,,,,,,,,,,,
Kyauk Ta Lone,,,IkObzhEcdSx,Kyauk Ta Lone,,,,,,,,,,,,
Moke Di,,,IkObzhEcdSx,Moke Di,,,,,,,,,,,,
Shwe Gun,,,IkObzhEcdSx,Shwe Gun,,,,,,,,,,,,
Thar Yar Kone,,,IkObzhEcdSx,Thar Yar Kone,,,,,,,,,,,,
Wut Gyi,,,IkObzhEcdSx,Wut Gyi,,,,,,,,,,,,
Kyon Doe,,,eCmGeOMzuoh,Kyon Doe,,,,,,,,,,,,
Mya Pa Taing,,,eCmGeOMzuoh,Mya Pa Taing,,,,,,,,,,,,
Na Bu,,,eCmGeOMzuoh,Na Bu,,,,,,,,,,,,
Taung Kyar Inn,,,eCmGeOMzuoh,Taung Kyar Inn,,,,,,,,,,,,
Thone Set Thone Su,,,eCmGeOMzuoh,Thone Set Thone Su,,,,,,,,,,,,
Me Pa Leit,,,ODhTsFeC2Yn,Me Pa Leit,,,,,,,,,,,,
Min Latt Pan,,,ODhTsFeC2Yn,Min Latt Pan,,,,,,,,,,,,
Sukali,,,ODhTsFeC2Yn,Sukali,,,,,,,,,,,,
Thin Gan Nyi Naung SHU,,,ODhTsFeC2Yn,Thin Gan Nyi Naung SHU,,,,,,,,,,,,
Whayt Shan,,,ODhTsFeC2Yn,Whayt Shan,,,,,,,,,,,,
Dar Lett,,,WgSXOjYyq79,Dar Lett,,,,,,,,,,,,
Ga Nan Pyin,,,WgSXOjYyq79,Ga Nan Pyin,,,,,,,,,,,,
Ka Zu Kaing,,,WgSXOjYyq79,Ka Zu Kaing,,,,,,,,,,,,
MCH,,,WgSXOjYyq79,MCH,,,,,,,,,,,,
Ru,,,WgSXOjYyq79,Ru,,,,,,,,,,,,
Sa Khan Maw,,,WgSXOjYyq79,Sa Khan Maw,,,,,,,,,,,,
Tat Taung,,,WgSXOjYyq79,Tat Taung,,,,,,,,,,,,
Tha Byu Chaing,,,WgSXOjYyq79,Tha Byu Chaing,,,,,,,,,,,,
Ma Day Kyun,,,I19ZYAKxiaN,Ma Day Kyun,,,,,,,,,,,,
