Name,UID,Code,Parent UID,Short Name,Description,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Richmond Fellowship Morang (RFM) - Jhapa,RyykQ1AQrRy,,nL6w0i1jZoA,Richmond Fellowship Morang (RFM) - Jhapa,,1970-01-01,,,,,,,,,
Richmond Fellowship Morang (RFM) - Morang,nZRepa1Vv8s,,wIxKlLoJuBs,Richmond Fellowship Morang (RFM) - Morang,,1970-01-01,,,,,,,,,
Richmond Fellowship Morang (RFM) - Sunsari,Kn84JYtyAK3,,h8VL0tKp8Zq,Richmond Fellowship Morang (RFM) - Sunsari,,1970-01-01,,,,,,,,,
Society for Positive Atmosphere and Related Support to HIV  & AIDS  (SPARSHA) - Bhaktapur,fGbVmsr4ESE,,lD6hHBpOSx3,SPARSHA - Bhaktapur,,1970-01-01,,,,,,,,,
Society for Positive Atmosphere and Related Support to HIV  & AIDS  (SPARSHA) - Lalitpur,QNRtyOWP3ce,,oRzgWifUDo6,SPARSHA - Lalitpur,,1970-01-01,,,,,,,,,
Society for Positive Atmosphere and Related Support to HIV  & AIDS  (SPARSHA) - Chitwan,a26MjSB3W8T,,ejJwIlxsFV4,SPARSHA - Chitwan,,1970-01-01,,,,,,,,,
Society for Positive Atmosphere and Related Support to HIV  & AIDS  (SPARSHA) - Makawanpur,jS6w40Y4Ota,,yJwRclNruAv,SPARSHA - Makawanpur,,1970-01-01,,,,,,,,,
Community Support Group (CSG) - Nawalpur,LtAMHcix01O,,xBmhWEBhaUD,Community Support Group (CSG) - Nawalpur,,1970-01-01,,,,,,,,,
Community Support Group (CSG) - Baglung,Uqp6EyQskSp,,lx2CznzW3Qj,Community Support Group (CSG) - Baglung,,1970-01-01,,,,,,,,,
Nepal National Social Welfare Association (NNSWA) - Kailali,fBkEnGqyfpX,,jObL09M0z4f,NNSWA - Kailali,,1970-01-01,,,,,,,,,
